t,motor_tested,curr_target_mA,on_target,i_q_RI8523_mA,futek_torque_Nm
0.502058744430542,RI8523,-10.0,1,330.426,-8.829995930067014,-1.551197338785974
0.509207010269165,RI8523,-10.0,1,330.318,-8.865351269126341,-1.5538974211859489
0.515186071395874,RI8523,-10.0,1,330.273,-8.847673599596678,-1.5484972563859958
0.5200068950653076,RI8523,-10.0,1,330.228,-8.865351269126341,-1.5444471327860334
0.5264480113983154,RI8523,-10.0,1,330.183,-8.821157095302182,-1.5579475447859115
0.5298995971679688,RI8523,-10.0,1,330.147,-8.856512434361509,-1.5525473799859615
0.5336344242095947,RI8523,-10.0,1,330.102,-8.856512434361509,-1.5498472975859865
0.5371477603912354,RI8523,-10.0,1,330.057,-8.821157095302182,-1.5498472975859865
0.5417673587799072,RI8523,-10.0,1,329.994,-8.847673599596678,-1.5498472975859865
0.5460939407348633,RI8523,-10.0,1,329.931,-8.847673599596678,-1.5538974211859489
0.5501773357391357,RI8523,-10.0,1,329.895,-8.847673599596678,-1.5552474623859365
0.5552310943603516,RI8523,-10.0,1,329.85,-8.847673599596678,-1.543097091586046
0.5598464012145996,RI8523,-10.0,1,329.805,-8.865351269126341,-1.5444471327860334
0.563340425491333,RI8523,-10.0,1,329.733,-8.829995930067014,-1.543097091586046
0.5659635066986084,RI8523,-10.0,1,329.67,-8.847673599596678,-1.5444471327860334
0.5685250759124756,RI8523,-10.0,1,329.60699999999997,-8.847673599596678,-1.5444471327860334
0.5712573528289795,RI8523,-10.0,1,329.544,-8.838834764831846,-1.5471472151860084
0.5740609169006348,RI8523,-10.0,1,329.499,-8.838834764831846,-1.551197338785974
0.5767817497253418,RI8523,-10.0,1,329.436,-8.838834764831846,-1.5444471327860334
0.5795068740844727,RI8523,-10.0,1,329.337,-8.829995930067014,-1.5538974211859489
0.5830442905426025,RI8523,-10.0,1,329.274,-8.856512434361509,-1.543097091586046
0.5864133834838867,RI8523,-10.0,1,329.238,-8.821157095302182,-1.5390469679860836
